code,area,year,number_of_jobs,job_density,gcode,lat,lon
E09000023,Lewisham,2008,77000,0.41,E09000023,51.447,-0.0187319
E09000024,Merton,2008,81000,0.6,E09000024,51.3985,-0.1986
E09000025,Newham,2008,77000,0.41,E09000025,51.533,0.0540634
E09000026,Redbridge,2008,83000,0.48,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2008,90000,0.73,E09000027,51.4479,-0.326159
E09000028,Southwark,2008,245000,1.22,E09000028,51.4737,-0.0821115
E09000029,Sutton,2008,80000,0.66,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2008,220000,1.3,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2008,68000,0.41,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2008,129000,0.59,E09000032,51.4572,-0.194519
E09000033,Westminster,2008,639000,3.89,E09000033,51.4974,-0.136655
E09000001,City of London,2009,362000,61.72,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2009,47000,0.42,E09000002,51.5636,0.152614
E09000003,Barnet,2009,143000,0.63,E09000003,51.5878,-0.229105
E09000004,Bexley,2009,73000,0.5,E09000004,51.5524,-0.30256
E09000005,Brent,2009,110000,0.53,E09000005,51.4042,0.01998
E09000006,Bromley,2009,119000,0.61,E09000006,51.4042,0.01998
E09000007,Camden,2009,309000,1.99,E09000007,51.5275,-0.124663
E09000008,Croydon,2009,134000,0.57,E09000008,51.3726,-0.096801
E09000009,Ealing,2009,128000,0.56,E09000009,51.6537,-0.080609
E09000010,Enfield,2009,107000,0.54,E09000010,51.6537,-0.080609
E09000011,Greenwich,2009,80000,0.49,E09000011,51.4893,0.0647926
E09000012,Hackney,2009,101000,0.6,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2009,132000,0.98,E09000013,51.5064,-0.137447
E09000014,Haringey,2009,75000,0.42,E09000014,51.6002,-0.111927
E09000015,Harrow,2009,77000,0.5,E09000015,51.5846,-0.332159
E09000016,Havering,2009,80000,0.54,E09000016,51.5817,0.186821
E09000017,Hillingdon,2009,197000,1.12,E09000017,51.5289,-0.481374
E09000018,Hounslow,2009,138000,0.82,E09000018,51.4984,-0.1284
E09000019,Islington,2009,206000,1.4,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2009,129000,1.1,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2009,84000,0.78,E09000021,51.4029,-0.256523
E09000022,Lambeth,2009,149000,0.69,E09000022,51.4603,-0.11663
E09000023,Lewisham,2009,75000,0.4,E09000023,51.447,-0.0187319
E09000024,Merton,2009,79000,0.58,E09000024,51.3985,-0.1986
E09000025,Newham,2009,80000,0.41,E09000025,51.533,0.0540634
E09000026,Redbridge,2009,79000,0.45,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2009,84000,0.68,E09000027,51.4479,-0.326159
E09000028,Southwark,2009,236000,1.15,E09000028,51.4737,-0.0821115
E09000029,Sutton,2009,72000,0.58,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2009,217000,1.23,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2009,69000,0.41,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2009,125000,0.56,E09000032,51.4572,-0.194519
E09000033,Westminster,2009,640000,3.95,E09000033,51.4974,-0.136655
E09000001,City of London,2010,388000,68.16,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2010,51000,0.44,E09000002,51.5636,0.152614
E09000003,Barnet,2010,141000,0.61,E09000003,51.5878,-0.229105
E09000004,Bexley,2010,77000,0.53,E09000004,51.5524,-0.30256
E09000005,Brent,2010,114000,0.54,E09000005,51.4042,0.01998
E09000006,Bromley,2010,120000,0.61,E09000006,51.4042,0.01998
E09000007,Camden,2010,307000,1.97,E09000007,51.5275,-0.124663
E09000008,Croydon,2010,138000,0.58,E09000008,51.3726,-0.096801
E09000009,Ealing,2010,128000,0.55,E09000009,51.6537,-0.080609
E09000010,Enfield,2010,112000,0.56,E09000010,51.6537,-0.080609
E09000011,Greenwich,2010,82000,0.49,E09000011,51.4893,0.0647926
E09000012,Hackney,2010,101000,0.58,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2010,139000,1.03,E09000013,51.5064,-0.137447
E09000014,Haringey,2010,72000,0.4,E09000014,51.6002,-0.111927
E09000015,Harrow,2010,78000,0.5,E09000015,51.5846,-0.332159
E09000016,Havering,2010,82000,0.55,E09000016,51.5817,0.186821
E09000017,Hillingdon,2010,192000,1.08,E09000017,51.5289,-0.481374
E09000018,Hounslow,2010,143000,0.83,E09000018,51.4984,-0.1284
E09000019,Islington,2010,197000,1.32,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2010,129000,1.11,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2010,85000,0.78,E09000021,51.4029,-0.256523
E09000022,Lambeth,2010,151000,0.68,E09000022,51.4603,-0.11663
E09000023,Lewisham,2010,73000,0.38,E09000023,51.447,-0.0187319
E09000024,Merton,2010,78000,0.57,E09000024,51.3985,-0.1986
E09000025,Newham,2010,80000,0.38,E09000025,51.533,0.0540634
E09000026,Redbridge,2010,78000,0.43,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2010,85000,0.68,E09000027,51.4479,-0.326159
E09000028,Southwark,2010,228000,1.09,E09000028,51.4737,-0.0821115
E09000029,Sutton,2010,73000,0.59,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2010,223000,1.22,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2010,66000,0.38,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2010,118000,0.52,E09000032,51.4572,-0.194519
E09000033,Westminster,2010,644000,4,E09000033,51.4974,-0.136655
E09000001,City of London,2011,436000,75.79,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2011,54000,0.45,E09000002,51.5636,0.152614
E09000003,Barnet,2011,147000,0.62,E09000003,51.5878,-0.229105
E09000004,Bexley,2011,78000,0.53,E09000004,51.5524,-0.30256
E09000005,Brent,2011,115000,0.53,E09000005,51.4042,0.01998
E09000006,Bromley,2011,119000,0.61,E09000006,51.4042,0.01998
E09000007,Camden,2011,331000,2.06,E09000007,51.5275,-0.124663
E09000008,Croydon,2011,136000,0.56,E09000008,51.3726,-0.096801
E09000009,Ealing,2011,148000,0.63,E09000009,51.6537,-0.080609
E09000010,Enfield,2011,110000,0.54,E09000010,51.6537,-0.080609
